Data	retencja
01.01.2022	0
02.01.2022	0
03.01.2022	0
04.01.2022	0
05.01.2022	0
06.01.2022	0
07.01.2022	0
08.01.2022	41
09.01.2022	79
10.01.2022	163
11.01.2022	259
12.01.2022	368
13.01.2022	45
14.01.2022	0
15.01.2022	0
16.01.2022	0
17.01.2022	0
18.01.2022	0
19.01.2022	0
20.01.2022	0
21.01.2022	0
22.01.2022	0
23.01.2022	33
24.01.2022	75
25.01.2022	537
26.01.2022	826
27.01.2022	26
28.01.2022	0
29.01.2022	0
30.01.2022	0
31.01.2022	0
01.02.2022	0
02.02.2022	0
03.02.2022	0
04.02.2022	0
05.02.2022	97
06.02.2022	0
07.02.2022	99
08.02.2022	0
09.02.2022	0
10.02.2022	0
11.02.2022	97
12.02.2022	83
13.02.2022	77
14.02.2022	195
15.02.2022	145
16.02.2022	90
17.02.2022	0
18.02.2022	0
19.02.2022	93
20.02.2022	0
21.02.2022	0
22.02.2022	93
23.02.2022	0
24.02.2022	0
25.02.2022	0
26.02.2022	228
27.02.2022	0
28.02.2022	84
01.03.2022	90
02.03.2022	0
03.03.2022	93
04.03.2022	1189
05.03.2022	139
06.03.2022	0
07.03.2022	0
08.03.2022	75
09.03.2022	612
10.03.2022	0
11.03.2022	137
12.03.2022	122
13.03.2022	0
14.03.2022	0
15.03.2022	88
16.03.2022	112
17.03.2022	82
18.03.2022	174
19.03.2022	279
20.03.2022	125
21.03.2022	123
22.03.2022	108
23.03.2022	0
24.03.2022	0
25.03.2022	0
26.03.2022	0
27.03.2022	0
28.03.2022	0
29.03.2022	0
30.03.2022	0
31.03.2022	207
01.04.2022	1299
02.04.2022	218
03.04.2022	0
04.04.2022	0
05.04.2022	0
06.04.2022	220
07.04.2022	72
08.04.2022	0
09.04.2022	0
10.04.2022	0
11.04.2022	0
12.04.2022	0
13.04.2022	205
14.04.2022	0
15.04.2022	436
16.04.2022	622
17.04.2022	34
18.04.2022	0
19.04.2022	0
20.04.2022	0
21.04.2022	0
22.04.2022	0
23.04.2022	0
24.04.2022	0
25.04.2022	0
26.04.2022	0
27.04.2022	0
28.04.2022	36
29.04.2022	542
30.04.2022	529
01.05.2022	890
02.05.2022	609
03.05.2022	79
04.05.2022	0
05.05.2022	0
06.05.2022	0
07.05.2022	0
08.05.2022	0
09.05.2022	0
10.05.2022	467
11.05.2022	234
12.05.2022	0
13.05.2022	0
14.05.2022	0
15.05.2022	0
16.05.2022	65
17.05.2022	781
18.05.2022	778
19.05.2022	32
20.05.2022	0
21.05.2022	0
22.05.2022	0
23.05.2022	0
24.05.2022	0
25.05.2022	0
26.05.2022	0
27.05.2022	0
28.05.2022	0
29.05.2022	0
30.05.2022	0
31.05.2022	0
01.06.2022	0
02.06.2022	18
03.06.2022	525
04.06.2022	697
05.06.2022	786
06.06.2022	792
07.06.2022	0
08.06.2022	0
09.06.2022	0
10.06.2022	0
11.06.2022	0
12.06.2022	0
13.06.2022	0
14.06.2022	0
15.06.2022	0
16.06.2022	0
17.06.2022	998
18.06.2022	0
19.06.2022	0
20.06.2022	0
21.06.2022	0
22.06.2022	0
23.06.2022	0
24.06.2022	0
25.06.2022	0
26.06.2022	540
27.06.2022	607
28.06.2022	603
29.06.2022	0
30.06.2022	0
01.07.2022	0
02.07.2022	0
03.07.2022	0
04.07.2022	0
05.07.2022	0
06.07.2022	527
07.07.2022	619
08.07.2022	0
09.07.2022	0
10.07.2022	0
11.07.2022	170
12.07.2022	13
13.07.2022	0
14.07.2022	0
15.07.2022	0
16.07.2022	0
17.07.2022	518
18.07.2022	791
19.07.2022	673
20.07.2022	601
21.07.2022	612
22.07.2022	705
23.07.2022	0
24.07.2022	0
25.07.2022	1100
26.07.2022	118
27.07.2022	69
28.07.2022	0
29.07.2022	0
30.07.2022	0
31.07.2022	0
01.08.2022	0
02.08.2022	0
03.08.2022	0
04.08.2022	0
05.08.2022	0
06.08.2022	0
07.08.2022	0
08.08.2022	660
09.08.2022	1245
10.08.2022	745
11.08.2022	48
12.08.2022	0
13.08.2022	0
14.08.2022	0
15.08.2022	0
16.08.2022	0
17.08.2022	0
18.08.2022	0
19.08.2022	0
20.08.2022	0
21.08.2022	0
22.08.2022	0
23.08.2022	0
24.08.2022	0
25.08.2022	0
26.08.2022	0
27.08.2022	0
28.08.2022	0
29.08.2022	0
30.08.2022	0
31.08.2022	0
01.09.2022	0
02.09.2022	388
03.09.2022	415
04.09.2022	560
05.09.2022	467
06.09.2022	517
07.09.2022	552
08.09.2022	0
09.09.2022	0
10.09.2022	0
11.09.2022	0
12.09.2022	435
13.09.2022	406
14.09.2022	0
15.09.2022	0
16.09.2022	0
17.09.2022	0
18.09.2022	0
19.09.2022	353
20.09.2022	476
21.09.2022	383
22.09.2022	0
23.09.2022	0
24.09.2022	0
25.09.2022	0
26.09.2022	0
27.09.2022	0
28.09.2022	0
29.09.2022	302
30.09.2022	426
01.10.2022	456
02.10.2022	568
03.10.2022	1182
04.10.2022	0
05.10.2022	0
06.10.2022	0
07.10.2022	0
08.10.2022	0
09.10.2022	0
10.10.2022	1170
11.10.2022	695
12.10.2022	644
13.10.2022	0
14.10.2022	0
15.10.2022	0
16.10.2022	0
17.10.2022	0
18.10.2022	0
19.10.2022	0
20.10.2022	0
21.10.2022	0
