nr_pokoju	standard	cena
101	N	220
102	N	220
103	N	220
104	N	220
105	N	220
106	N	220
107	N	220
108	N	220
109	N	220
110	N	220
111	N	220
112	N	220
113	N	220
114	N	220
115	N	220
116	N	220
117	N	220
118	N	220
119	N	220
120	N	220
201	N	220
202	N	220
203	N	220
204	N	220
205	N	220
206	N	220
207	N	200
208	N	200
209	N	200
210	N	200
211	N	200
212	N	200
213	N	200
214	N	200
215	N	200
216	N	200
217	W	250
218	W	250
219	W	250
220	W	250
301	W	250
302	W	250
303	W	250
304	N	200
305	N	200
306	N	200
307	N	200
308	N	200
309	N	200
310	N	200
311	N	200
312	N	200
313	N	200
314	N	200
315	N	200
316	W	400
317	W	400
318	W	400
319	W	400
320	W	400
401	N	220
402	N	220
403	N	220
404	N	220
405	N	220
406	N	220
407	N	220
408	N	220
409	N	220
410	N	220
411	N	220
412	N	220
413	N	220
414	N	220
415	N	220
416	N	220
417	N	220
418	N	220
419	N	220
420	N	220
501	W	500
502	W	500
503	W	500
504	W	500
505	W	500
506	W	600
507	W	600
508	W	600
509	W	600
510	W	600
